GenerationGhw,Type,IdDate
0.62,Geothermal,3212
0.62,Geothermal,2
0.62,Geothermal,3
0.62,Geothermal,4
0.62,Geothermal,5
0.62,Geothermal,6
0.62,Geothermal,7
0.62,Geothermal,8
0.62,Geothermal,9
0.62,Geothermal,23
0.62,Geothermal,24
0.62,Geothermal,25
0.62,Geothermal,26
0.62,Geothermal,27
0.62,Geothermal,31
0.62,Geothermal,32
0.62,Geothermal,33
0.62,Geothermal,34
0.62,Geothermal,35
0.62,Geothermal,36
0.62,Geothermal,37
0.62,Geothermal,38
0.62,Geothermal,39
0.62,Geothermal,40
0.62,Geothermal,41
0.62,Geothermal,42
0.62,Geothermal,43
0.62,Geothermal,44
0.62,Geothermal,45
0.62,Geothermal,46
0.62,Geothermal,47
0.62,Geothermal,48
0.62,Geothermal,49
0.62,Geothermal,50
0.62,Geothermal,51
0.62,Geothermal,52
0.62,Geothermal,53
0.62,Geothermal,54
0.62,Geothermal,55
0.62,Geothermal,56
0.62,Geothermal,57
0.62,Geothermal,58
0.62,Geothermal,59
0.62,Geothermal,60
0.62,Geothermal,61
0.62,Geothermal,62
0.62,Geothermal,63
0.62,Geothermal,64
0.62,Geothermal,65
0.62,Geothermal,66
0.62,Geothermal,67
0.62,Geothermal,68
0.62,Geothermal,69
0.62,Geothermal,70
0.62,Geothermal,71
0.62,Geothermal,72
0.62,Geothermal,73
0.62,Geothermal,74
0.62,Geothermal,75
0.62,Geothermal,76
0.62,Geothermal,77
0.62,Geothermal,78
0.62,Geothermal,79
0.62,Geothermal,80
0.62,Geothermal,81
0.62,Geothermal,82
0.62,Geothermal,83
0.62,Geothermal,84
0.62,Geothermal,85
0.62,Geothermal,86
0.62,Geothermal,87
0.62,Geothermal,88
0.62,Geothermal,89
0.62,Geothermal,90
0.62,Geothermal,91
0.62,Geothermal,92
0.62,Geothermal,93
0.62,Geothermal,94
0.62,Geothermal,95
0.62,Geothermal,96
0.62,Geothermal,97
0.62,Geothermal,98
0.62,Geothermal,99
0.62,Geothermal,100
0.62,Geothermal,101
0.62,Geothermal,102
0.62,Geothermal,103
0.62,Geothermal,104
0.62,Geothermal,105
0.62,Geothermal,107
0.62,Geothermal,108
0.62,Geothermal,109
0.62,Geothermal,110
0.62,Geothermal,111
0.62,Geothermal,112
0.62,Geothermal,113
0.62,Geothermal,114
0.62,Geothermal,115
0.62,Geothermal,116
0.62,Geothermal,117
0.62,Geothermal,118
0.62,Geothermal,119
0.62,Geothermal,120
0.62,Geothermal,121
0.62,Geothermal,122
0.62,Geothermal,123
0.62,Geothermal,124
0.62,Geothermal,125
0.62,Geothermal,126
0.62,Geothermal,127
0.62,Geothermal,128
0.62,Geothermal,129
0.62,Geothermal,130
0.62,Geothermal,131
0.62,Geothermal,132
0.62,Geothermal,133
0.62,Geothermal,134
0.62,Geothermal,135
0.62,Geothermal,136
0.62,Geothermal,137
0.62,Geothermal,138
0.62,Geothermal,139
0.62,Geothermal,140
0.62,Geothermal,141
0.62,Geothermal,142
