CountActive,Description,Ateco,IdProvince
10570,AGRICOLTURA SILVICOLTURA E PESCA,A,1
32,ALTRE ATTIVITÀ,X,1
1149,ALTRE ATTIVITÀ DI SERVIZI,S,1
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,1
305,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,1
2378,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,1
626,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,1
400,ATTIVITA' IMMOBILIARI,L,1
2000,ATTIVITÀ MANIFATTURIERE,C,1
617,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,1
9658,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,1
3732,COSTRUZIONI,F,1
25,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,1
107,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,1
147,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,1
291,ISTRUZIONE,P,1
757,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,1
564,SANITA' E ASSISTENZA SOCIALE,Q,1
423,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,1
748,TRASPORTO E MAGAZZINAGGIO,H,1
7009,AGRICOLTURA SILVICOLTURA E PESCA,A,2
16,ALTRE ATTIVITÀ,X,2
1711,ALTRE ATTIVITÀ DI SERVIZI,S,2
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,2
400,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,2
2298,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,2
974,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,2
2345,ATTIVITA' IMMOBILIARI,L,2
3548,ATTIVITÀ MANIFATTURIERE,C,2
1236,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,2
7688,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,2
5719,COSTRUZIONI,F,2
12,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,2
49,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,2
55,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,2
158,ISTRUZIONE,P,2
1105,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,2
215,SANITA' E ASSISTENZA SOCIALE,Q,2
567,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,2
776,TRASPORTO E MAGAZZINAGGIO,H,2
5438,AGRICOLTURA SILVICOLTURA E PESCA,A,3
18,ALTRE ATTIVITÀ,X,3
1916,ALTRE ATTIVITÀ DI SERVIZI,S,3
2,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,3
623,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,3
2581,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,3
1019,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,3
2147,ATTIVITA' IMMOBILIARI,L,3
3960,ATTIVITÀ MANIFATTURIERE,C,3
1597,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,3
9017,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,3
5104,COSTRUZIONI,F,3
16,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,3
58,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,3
127,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,3
184,ISTRUZIONE,P,3
1239,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,3
270,SANITA' E ASSISTENZA SOCIALE,Q,3
858,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,3
1008,TRASPORTO E MAGAZZINAGGIO,H,3
1461,AGRICOLTURA SILVICOLTURA E PESCA,A,4
2,ALTRE ATTIVITÀ,X,4
547,ALTRE ATTIVITÀ DI SERVIZI,S,4
1,AMMINISTRAZIONE PUBBLICA E DIFESA ASSICURAZIONE SOCIALE OBBLIGATORIA,O,4
155,ATTIVITÀ ARTISTICHE SPORTIVE DI INTRATTENIMENTO E DIVERTIMENTO,R,4
1732,ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE,I,4
224,ATTIVITÀ FINANZIARIE E ASSICURATIVE,K,4
546,ATTIVITA' IMMOBILIARI,L,4
728,ATTIVITÀ MANIFATTURIERE,C,4
345,ATTIVITÀ PROFESSIONALI SCIENTIFICHE E TECNICHE,M,4
1862,COMMERCIO ALL'INGROSSO E AL DETTAGLIO RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,G,4
2305,COSTRUZIONI,F,4
9,ESTRAZIONE DI MINERALI DA CAVE E MINIERE,B,4
23,FORNITURA DI ACQUA RETI FOGNARIE ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO,E,4
88,FORNITURA DI ENERGIA ELETTRICA GAS VAPORE E ARIA CONDIZIONATA,D,4
73,ISTRUZIONE,P,4
436,NOLEGGIO AGENZIE DI VIAGGIO SERVIZI DI SUPPORTO ALLE IMPRESE,N,4
61,SANITA' E ASSISTENZA SOCIALE,Q,4
205,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,J,4
204,TRASPORTO E MAGAZZINAGGIO,H,4
5492,AGRICOLTURA SILVICOLTURA E PESCA,A,5
