TotalLoadMW,ForecastTotalLoadMw,IdDate,IdMacroZone
12206.55,12067.8,1,1
4496.37,4445.26,1,4
1910.6,1888.88,1,5
1015.51,1003.97,1,7
2683.1,2652.61,1,2
24986,24702,1,8
2673.88,2643.48,1,3
23812,24319,2,8
933.44,953.31,2,7
2245.57,2293.38,2,2
11524.25,11769.63,2,1
4636.2,4734.91,2,4
1909.92,1950.59,2,5
560.64,572.58,2,6
2001.98,2044.6,2,3
2062.14,2208.15,3,2
10446.49,11186.15,3,1
4204.13,4501.8,3,4
1750.64,1874.59,3,5
856.09,916.7,3,7
499.38,534.74,3,6
1818.14,1946.88,3,3
21637,23169,3,8
814.23,863.92,4,7
2008.33,2130.88,4,2
9951.9,10559.2,4,1
3859.2,4094.7,4,4
1578.77,1675.11,4,5
449.7,477.14,4,6
1690.87,1794.06,4,3
20353,21595,4,8
9633.04,10139.18,5,1
3642.99,3834.41,5,4
1502.08,1581,5,5
784.32,825.53,5,7
1915.79,2016.45,5,2
412.57,434.24,5,6
1636.22,1722.2,5,3
19527,20553,5,8
783.19,798.41,6,7
1892.65,1929.43,6,2
9958.22,10151.72,6,1
3584.13,3653.77,6,4
1489.02,1517.95,6,5
397.9,405.63,6,6
1604.9,1636.09,6,3
19710,20093,6,8
1977.02,1975.39,7,2
10499.75,10491.1,7,1
3657.26,3654.24,7,4
1541.94,1540.67,7,5
808.2,807.54,7,7
417.77,417.42,7,6
1729.06,1727.64,7,3
20631,20614,7,8
851.69,856.59,8,7
2017.84,2029.45,8,2
10866.29,10928.82,8,1
3851.37,3873.54,8,4
1569.06,1578.09,8,5
433.24,435.73,8,6
1784.52,1794.79,8,3
21374,21497,8,8
3798.97,3843.02,9,4
1591.81,1610.26,9,5
879.11,889.31,9,7
2023.07,2046.53,9,2
10987.71,11115.11,9,1
445.58,450.74,9,6
1749.75,1770.04,9,3
21476,21725,9,8
942.25,923.09,10,7
2104.91,2062.12,10,2
11574.49,11339.2,10,1
4139.05,4054.91,10,4
1784.53,1748.26,10,5
538.71,527.76,10,6
2036.06,1994.67,10,3
23120,22650,10,8
2230.61,2124.08,11,2
12782.18,12171.71,11,1
4607.85,4387.78,11,4
1983.93,1889.18,11,5
1130.86,1076.85,11,7
548.9,522.68,11,6
2155.69,2052.73,11,3
25440,24225,11,8
1181.51,1086.01,12,7
2480.29,2279.83,12,2
14019.33,12886.26,12,1
5137.43,4722.21,12,4
2188.57,2011.68,12,5
595.93,547.77,12,6
1938.94,1782.23,12,3
27542,25316,12,8
15097.35,13129.2,13,1
5685.54,4944.35,13,4
2530.16,2200.32,13,5
1240.16,1078.48,13,7
2717.72,2363.43,13,2
709.84,617.31,13,6
2549.24,2216.91,13,3
30530,26550,13,8
1164.11,1041.45,14,7
2759.6,2468.83,14,2
14457.15,12933.83,14,1
5785.63,5176.02,14,4
2315.8,2071.79,14,5
681.82,609.98,14,6
2626.9,2350.11,14,3
29791,26652,14,8
